序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
3456,600438,通威股份,16.31,0.0,0.0,345458.0,563209062.0,2.45,16.45,16.05,16.08,16.31,1.31,0.77,-7.08,1.66,73427387077.0,73427387077.0,0.0,0.0,-20.28,-26.23
3457,600320,振华重工,4.26,0.0,0.0,598385.0,255384138.0,1.64,4.3,4.23,4.24,4.26,0.77,1.8,21.97,1.43,22443185914.0,14151710036.0,0.0,-0.23,8.95,8.67
3458,002144,宏达高科,10.72,0.0,0.0,25671.0,27595015.0,1.77,10.87,10.68,10.72,10.72,0.92,1.87,26.96,0.92,1894894300.0,1475546639.0,0.09,0.19,8.17,2.98
3459,600665,天地源,2.89,0.0,0.0,91919.0,26773171.0,3.46,2.96,2.86,2.86,2.89,0.65,1.06,-10.1,0.89,2497314086.0,2497314086.0,-0.34,-0.34,-0.34,-7.67
3460,600927,永安期货,11.86,0.0,0.0,20222.0,24083101.0,1.1,11.97,11.84,11.87,11.86,0.64,0.14,464.33,1.35,17262888894.0,17262888894.0,-0.08,0.0,-4.43,-10.08
3461,600667,太极实业,6.32,0.0,0.0,137637.0,87370606.0,1.27,6.38,6.3,6.31,6.32,0.93,0.65,28.22,1.54,13311121925.0,13311121925.0,0.16,0.32,-6.65,-8.67
3462,600423,柳化股份,3.05,0.0,0.0,112102.0,34532564.0,2.62,3.12,3.04,3.07,3.05,0.99,1.4,279.16,4.4,2436019829.0,2436019829.0,0.0,-0.33,0.99,3.74
3463,600416,湘电股份,9.9,0.0,0.0,94853.0,93983798.0,1.92,9.97,9.78,9.87,9.9,0.94,0.72,62.5,1.74,13121523806.0,13121523806.0,-0.1,-0.1,-2.75,-12.31
3464,688184,帕瓦股份,11.08,0.0,0.0,,,0.0,,,,11.08,,0.0,-7.87,0.9,1762246455.0,1113401655.0,0.0,0.0,-15.16,-19.18
3465,600395,盘江股份,4.54,0.0,0.0,164012.0,74014666.0,1.54,4.55,4.48,4.53,4.54,1.0,0.76,-23.3,0.94,9745677019.0,9745677019.0,0.44,0.44,-9.38,-10.81
3466,300335,迪森股份,5.0,0.0,0.0,166954.0,83933944.0,1.8,5.08,4.99,5.01,5.0,0.86,4.35,31.15,1.23,2385061940.0,1920805820.0,0.0,0.0,2.46,3.73
3467,600674,川投能源,16.99,0.0,0.0,139720.0,236879924.0,0.94,17.02,16.86,16.98,16.99,0.81,0.29,14.0,1.9,82819570008.0,82819570008.0,0.06,0.06,6.92,-1.51
3468,600389,江山股份,16.43,0.0,0.0,80816.0,133600687.0,2.98,16.76,16.27,16.32,16.43,0.74,1.88,11.38,1.83,7075579500.0,7075579500.0,-0.06,-0.06,13.23,13.7
3469,600617,国新能源,2.53,0.0,0.0,244603.0,62276127.0,2.77,2.58,2.51,2.54,2.53,1.24,1.38,10.47,1.4,4880855193.0,4492123003.0,0.0,-0.39,5.42,-6.3
3470,600818,中路股份,10.23,0.0,0.0,34388.0,35453751.0,2.35,10.41,10.17,10.17,10.23,0.63,1.45,-254.29,5.61,3288412119.0,2434309419.0,-0.1,-0.1,-3.49,-11.51
3471,002285,世联行,2.23,0.0,0.0,471830.0,106198847.8,2.69,2.28,2.22,2.24,2.23,0.48,2.39,-104.27,1.57,4444008755.0,4406015214.0,0.0,-0.45,-5.51,-13.9
3472,600731,湖南海利,6.48,0.0,0.0,188281.0,121286934.0,2.62,6.55,6.38,6.47,6.48,0.92,3.37,15.99,1.13,3620650856.0,3615727669.0,0.47,0.47,9.27,13.68
3473,300387,富邦科技,8.16,0.0,0.0,45158.0,36969854.36,0.98,8.24,8.16,8.17,8.16,0.47,1.56,25.5,1.69,2358705267.0,2357886223.0,-0.12,-0.12,-1.69,2.0
3474,000589,贵州轮胎,4.36,0.0,0.0,130248.0,56944109.4,0.69,4.39,4.36,4.36,4.36,0.65,0.85,25.64,0.77,6780914433.0,6704975877.0,0.0,0.0,-9.73,-13.32
3475,300214,日科化学,6.02,0.0,0.0,96255.0,58090443.0,1.99,6.09,5.97,6.0,6.02,1.28,2.39,-81.08,1.15,2800278936.0,2424152178.0,0.17,0.0,6.93,7.69
3476,300110,华仁药业,2.9,0.0,0.0,131237.0,38210127.6,1.72,2.94,2.89,2.9,2.9,0.62,1.11,53.47,2.6,3428417648.0,3425415060.0,0.0,-0.34,-6.15,-17.61
3477,688119,中钢洛耐,3.58,0.0,0.0,41608.0,14982444.0,2.23,3.64,3.56,3.58,3.58,1.15,0.73,51.38,1.35,4027500000.0,2045970000.0,0.28,-0.28,-4.02,-8.21
3478,600546,山煤国际,9.47,0.0,0.0,195182.0,184984401.0,1.8,9.59,9.42,9.49,9.47,1.15,0.98,18.41,1.12,18773859646.0,18773859646.0,0.11,0.11,-14.38,-19.95
3479,300239,东宝生物,5.1,0.0,0.0,66051.0,33919576.0,1.76,5.18,5.09,5.13,5.1,0.82,1.12,39.74,1.79,3027400458.0,3007785093.0,-0.2,0.2,-3.95,-18.53
